timestamp,price_usd_close,exchange_balance,options_volume_put_call_ratio,realized_volatility_1_week,exchange_balance_EMA,options_volume_put_call_ratio_EMA,realized_volatility_1_week_EMA,exchange_balance_normalized,options_volume_put_call_ratio_normalized,realized_volatility_1_week_normalized,1_hour_price_change,1_day_price_change,5_day_price_change
15/02/2021 14:40,47717.17611,347475.5546,0.869151098,117.994715,,,,,,,,,
15/02/2021 14:50,47809.362,347371.3277,0.884581849,117.9074552,,,,,,,,,
15/02/2021 15:00,47667.03538,347371.3277,0.854221748,117.8197012,,,,,,,,,
15/02/2021 15:10,47745.09234,347361.8117,0.843944553,117.7161799,,,,,,,,,
15/02/2021 15:20,47812.20597,347329.3425,0.861250401,117.5773544,,,,,,,,,
15/02/2021 15:30,47816.55458,347417.7578,0.888593067,117.4169251,,,,,,,,,
15/02/2021 15:40,47833.68231,347417.7578,0.888417787,117.2692946,,,,,,,,,
15/02/2021 15:50,47907.84363,347426.2105,0.907671261,117.1231781,,,,,,,,,
15/02/2021 16:00,48082.34632,347426.2105,0.90670584,116.9683236,,,,,,,,,
15/02/2021 16:10,48129.20413,347534.8557,0.928732106,116.7632381,,,,,,,,,
15/02/2021 16:20,48371.74777,347567.0937,0.944749424,116.5135356,,,,,,,,,
15/02/2021 16:30,48415.57367,347819.3934,0.945446842,116.3130333,,,,,,,,,
15/02/2021 16:40,48396.7255,347839.9297,0.944651741,116.1557115,,,,,,,,,
15/02/2021 16:50,48410.91911,347798.8879,0.846885466,116.0057716,,,,,,,,,
15/02/2021 17:00,48679.00114,347799.0222,0.729340999,115.8711278,,,,,,,,,
15/02/2021 17:10,48643.81129,348710.4819,0.733565454,115.7430746,,,,,,,,,
15/02/2021 17:20,48721.12698,348710.4819,0.749227756,115.6429622,,,,,,,,,
15/02/2021 17:30,48665.76319,348710.4819,0.773415486,115.5270839,,,,,,,,,
15/02/2021 17:40,48564.04213,348887.3128,0.774758737,115.401861,,,,,,,,,
15/02/2021 17:50,48555.15302,348969.9343,0.774923765,115.2661783,,,,,,,,,
15/02/2021 18:00,48586.58662,348980.4129,0.748951925,115.1171898,,,,,,,,,
15/02/2021 18:10,48581.62451,348959.131,0.74757921,114.9873074,,,,,,,,,
15/02/2021 18:20,48541.36224,349037.2472,0.743538451,114.8675325,,,,,,,,,
15/02/2021 18:30,48475.00278,349037.2472,0.744179464,114.7440602,,,,,,,,,
15/02/2021 18:40,48482.50665,348905.9866,0.753643721,114.6061711,,,,,,,,,
15/02/2021 18:50,48473.42066,348976.4873,0.75311831,114.4916745,,,,,,,,,
15/02/2021 19:00,48511.17281,349096.4665,0.753123562,114.4043217,,,,,,,,,
15/02/2021 19:10,48593.65209,349149.8358,0.753560623,114.3127718,,,,,,,,,
15/02/2021 19:20,48549.80014,349050.2668,0.75268266,114.2140759,,,,,,,,,
15/02/2021 19:30,48478.71737,349122.243,0.750801254,114.1110481,,,,,,,,,
15/02/2021 19:40,48561.13276,349122.243,0.75135592,114.0089804,,,,,,,,,
